fecha,hora,moneda,compra,venta,compra_apertura,compra_minimo,compra_maximo,venta_apertura,venta_minimo,venta_maximo
2026-07-01,09:00,Dólar,"38,95000","41,35000",38.95000,38.95000,38.95000,41.35000,41.35000,41.35000
2026-07-01,12:00,Dólar,"39,05000","41,25000",38.95000,38.95000,39.05000,41.35000,41.25000,41.35000
2026-07-01,14:45,Dólar,"39,15000","41,35000",38.95000,38.95000,39.15000,41.35000,41.25000,41.35000
2026-07-01,16:15,Dólar,"39,05000","41,45000",38.95000,38.95000,39.15000,41.35000,41.25000,41.45000
2026-07-02,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-07-02,12:00,Dólar,"39,10000","41,30000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-07-02,14:15,Dólar,"39,15000","41,35000",39.05000,39.05000,39.15000,41.45000,41.30000,41.45000
2026-07-02,16:15,Dólar,"39,00000","41,40000",39.05000,39.00000,39.15000,41.45000,41.30000,41.45000
2026-07-03,09:00,Dólar,"39,00000","41,40000",39.00000,39.00000,39.00000,41.40000,41.40000,41.40000
2026-07-03,12:00,Dólar,"39,05000","41,25000",39.00000,39.00000,39.05000,41.40000,41.25000,41.40000
2026-07-03,13:15,Dólar,"39,10000","41,30000",39.00000,39.00000,39.10000,41.40000,41.25000,41.40000
2026-07-03,16:15,Dólar,"39,00000","41,50000",39.00000,39.00000,39.10000,41.40000,41.25000,41.50000
2026-07-06,09:00,Dólar,"39,00000","41,50000",39.00000,39.00000,39.00000,41.50000,41.50000,41.50000
2026-07-06,12:00,Dólar,"39,20000","41,40000",39.00000,39.00000,39.20000,41.50000,41.40000,41.50000
2026-07-06,14:45,Dólar,"39,10000","41,30000",39.00000,39.00000,39.20000,41.50000,41.30000,41.50000
2026-07-06,16:15,Dólar,"39,00000","41,40000",39.00000,39.00000,39.20000,41.50000,41.30000,41.50000
2026-07-07,09:00,Dólar,"39,00000","41,40000",39.00000,39.00000,39.00000,41.40000,41.40000,41.40000
2026-07-07,11:45,Dólar,"39,10000","41,30000",39.00000,39.00000,39.10000,41.40000,41.30000,41.40000
2026-07-07,16:15,Dólar,"39,00000","41,40000",39.00000,39.00000,39.10000,41.40000,41.30000,41.40000
2026-07-08,09:00,Dólar,"39,00000","41,40000",39.00000,39.00000,39.00000,41.40000,41.40000,41.40000
2026-07-08,12:00,Dólar,"39,20000","41,40000",39.00000,39.00000,39.20000,41.40000,41.40000,41.40000
2026-07-08,16:15,Dólar,"39,10000","41,50000",39.00000,39.00000,39.20000,41.40000,41.40000,41.50000
2026-07-09,09:00,Dólar,"39,10000","41,50000",39.10000,39.10000,39.10000,41.50000,41.50000,41.50000
2026-07-09,12:00,Dólar,"39,15000","41,35000",39.10000,39.10000,39.15000,41.50000,41.35000,41.50000
2026-07-09,16:30,Dólar,"39,00000","41,40000",39.10000,39.00000,39.15000,41.50000,41.35000,41.50000
2026-07-10,09:00,Dólar,"39,00000","41,40000",39.00000,39.00000,39.00000,41.40000,41.40000,41.40000
2026-07-10,11:45,Dólar,"39,10000","41,30000",39.00000,39.00000,39.10000,41.40000,41.30000,41.40000
2026-07-10,16:15,Dólar,"38,95000","41,45000",39.00000,38.95000,39.10000,41.40000,41.30000,41.45000
2026-07-13,09:00,Dólar,"38,95000","41,45000",38.95000,38.95000,38.95000,41.45000,41.45000,41.45000
2026-07-13,12:15,Dólar,"39,15000","41,35000",38.95000,38.95000,39.15000,41.45000,41.35000,41.45000
2026-07-13,16:15,Dólar,"39,05000","41,45000",38.95000,38.95000,39.15000,41.45000,41.35000,41.45000
2026-07-14,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-07-14,11:30,Dólar,"39,00000","41,20000",39.05000,39.00000,39.05000,41.45000,41.20000,41.45000
2026-07-14,16:15,Dólar,"39,00000","41,40000",39.05000,39.00000,39.05000,41.45000,41.20000,41.45000
2026-07-15,09:00,Dólar,"39,00000","41,40000",39.00000,39.00000,39.00000,41.40000,41.40000,41.40000
2026-07-15,11:45,Dólar,"39,10000","41,30000",39.00000,39.00000,39.10000,41.40000,41.30000,41.40000
2026-07-15,16:15,Dólar,"39,00000","41,40000",39.00000,39.00000,39.10000,41.40000,41.30000,41.40000
2026-07-16,09:00,Dólar,"39,00000","41,40000",39.00000,39.00000,39.00000,41.40000,41.40000,41.40000
2026-07-16,12:15,Dólar,"39,15000","41,35000",39.00000,39.00000,39.15000,41.40000,41.35000,41.40000
