fecha,hora,moneda,compra,venta,compra_apertura,compra_minimo,compra_maximo,venta_apertura,venta_minimo,venta_maximo
2026-08-07,14:30,Dólar,"39,15000","41,35000",39.15000,39.15000,39.15000,41.35000,41.35000,41.35000
2026-08-07,16:15,Dólar,"39,00000","41,50000",39.15000,39.00000,39.15000,41.35000,41.35000,41.50000
2026-08-10,09:00,Dólar,"39,00000","41,50000",39.00000,39.00000,39.00000,41.50000,41.50000,41.50000
2026-08-10,11:45,Dólar,"39,15000","41,35000",39.00000,39.00000,39.15000,41.50000,41.35000,41.50000
2026-08-10,16:15,Dólar,"39,05000","41,45000",39.00000,39.00000,39.15000,41.50000,41.35000,41.50000
2026-08-11,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-08-11,11:45,Dólar,"39,10000","41,30000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-08-11,14:30,Dólar,"39,20000","41,40000",39.05000,39.05000,39.20000,41.45000,41.30000,41.45000
2026-08-11,16:15,Dólar,"39,10000","41,50000",39.05000,39.05000,39.20000,41.45000,41.30000,41.50000
2026-08-12,09:00,Dólar,"39,10000","41,50000",39.10000,39.10000,39.10000,41.50000,41.50000,41.50000
2026-08-12,11:45,Dólar,"39,25000","41,45000",39.10000,39.10000,39.25000,41.50000,41.45000,41.50000
2026-08-12,16:15,Dólar,"39,15000","41,55000",39.10000,39.10000,39.25000,41.50000,41.45000,41.55000
2026-08-13,09:00,Dólar,"39,15000","41,55000",39.15000,39.15000,39.15000,41.55000,41.55000,41.55000
2026-08-13,12:00,Dólar,"39,20000","41,40000",39.15000,39.15000,39.20000,41.55000,41.40000,41.55000
2026-08-13,16:15,Dólar,"39,15000","41,55000",39.15000,39.15000,39.20000,41.55000,41.40000,41.55000
2026-08-14,09:00,Dólar,"39,15000","41,55000",39.15000,39.15000,39.15000,41.55000,41.55000,41.55000
2026-08-14,11:30,Dólar,"39,25000","41,45000",39.15000,39.15000,39.25000,41.55000,41.45000,41.55000
2026-08-14,16:15,Dólar,"39,15000","41,55000",39.15000,39.15000,39.25000,41.55000,41.45000,41.55000
2026-08-14,17:15,Dólar,"39,10000","41,60000",39.15000,39.10000,39.25000,41.55000,41.45000,41.60000
2026-08-17,09:00,Dólar,"39,10000","41,60000",39.10000,39.10000,39.10000,41.60000,41.60000,41.60000
2026-08-17,11:45,Dólar,"39,15000","41,35000",39.10000,39.10000,39.15000,41.60000,41.35000,41.60000
2026-08-17,16:30,Dólar,"39,05000","41,45000",39.10000,39.05000,39.15000,41.60000,41.35000,41.60000
