fecha,hora,moneda,compra,venta,compra_apertura,compra_minimo,compra_maximo,venta_apertura,venta_minimo,venta_maximo
2026-09-01,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-01,11:45,Dólar,"39,15000","41,35000",39.05000,39.05000,39.15000,41.45000,41.35000,41.45000
2026-09-01,16:15,Dólar,"39,05000","41,45000",39.05000,39.05000,39.15000,41.45000,41.35000,41.45000
2026-09-02,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-02,12:00,Dólar,"39,10000","41,30000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-09-02,16:15,Dólar,"39,05000","41,45000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-09-03,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-03,11:45,Dólar,"39,10000","41,30000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-09-03,16:15,Dólar,"39,05000","41,45000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-09-04,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-04,12:00,Dólar,"39,15000","41,35000",39.05000,39.05000,39.15000,41.45000,41.35000,41.45000
2026-09-04,16:15,Dólar,"39,00000","41,50000",39.05000,39.00000,39.15000,41.45000,41.35000,41.50000
2026-09-07,09:00,Dólar,"39,00000","41,50000",39.00000,39.00000,39.00000,41.50000,41.50000,41.50000
2026-09-07,12:45,Dólar,"39,10000","41,30000",39.00000,39.00000,39.10000,41.50000,41.30000,41.50000
2026-09-07,16:15,Dólar,"39,05000","41,45000",39.00000,39.00000,39.10000,41.50000,41.30000,41.50000
2026-09-08,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-08,11:45,Dólar,"39,15000","41,35000",39.05000,39.05000,39.15000,41.45000,41.35000,41.45000
2026-09-09,09:00,Dólar,"39,15000","41,35000",39.15000,39.15000,39.15000,41.35000,41.35000,41.35000
2026-09-09,16:30,Dólar,"39,05000","41,45000",39.15000,39.05000,39.15000,41.35000,41.35000,41.45000
2026-09-10,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-10,11:45,Dólar,"39,20000","41,40000",39.05000,39.05000,39.20000,41.45000,41.40000,41.45000
2026-09-10,16:15,Dólar,"39,05000","41,45000",39.05000,39.05000,39.20000,41.45000,41.40000,41.45000
2026-09-11,09:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-09-11,12:00,Dólar,"39,10000","41,30000",39.05000,39.05000,39.10000,41.45000,41.30000,41.45000
2026-09-11,16:15,Dólar,"38,95000","41,45000",39.05000,38.95000,39.10000,41.45000,41.30000,41.45000
